id,nom_groupe,nom_couleur,rgb
957,Neutral,Vert illusoire,"rgb(146, 148, 141)"
958,Neutral,Dépôt minéral,"rgb(171, 176, 172)"
959,Neutral,Ferblantier,"rgb(197, 200, 196)"
960,Neutral,Wall Street,"rgb(101, 109, 115)"
961,Neutral,Gris sérieux,"rgb(125, 132, 139)"
962,Neutral,Logiciel,"rgb(127, 132, 134)"
963,Neutral,Paysage urbain,"rgb(127, 129, 126)"
964,Neutral,Gris attitude,"rgb(124, 125, 117)"
965,Neutral,Gris,"rgb(165, 169, 168)"
966,Neutral,Argenté,"rgb(194, 192, 186)"
967,Neutral,Tuile d'ardoise,"rgb(96, 110, 116)"
968,Neutral,Gibraltar,"rgb(98, 105, 112)"
969,Neutral,Gris Internet,"rgb(97, 102, 105)"
970,Neutral,Gris pleurnichard,"rgb(99, 101, 98)"
971,Neutral,Couche-tard,"rgb(99, 101, 95)"
972,Neutral,Earl Grey,"rgb(150, 154, 150)"
973,Neutral,Gris Ellie,"rgb(170, 169, 164)"
974,Neutral,Bleu fumé,"rgb(89, 110, 121)"
975,Neutral,Serpent de mer,"rgb(62, 75, 84)"
976,Neutral,Cyberespace,"rgb(68, 72, 77)"
977,Neutral,Grain de poivre,"rgb(88, 88, 88)"
978,Neutral,Bois de Laurier,"rgb(68, 73, 61)"
979,Neutral,Gris feutré,"rgb(102, 109, 105)"
980,Neutral,Béton timbré,"rgb(160, 160, 154)"
981,Neutral,Grisâtre,"rgb(207, 202, 199)"
982,Neutral,Alpaca,"rgb(204, 197, 189)"
983,Neutral,Gris populaire,"rgb(212, 204, 195)"
984,Neutral,Gris charmant,"rgb(209, 203, 193)"
985,Neutral,Gris reposant,"rgb(204, 201, 192)"
986,Neutral,Gris de ce monde,"rgb(206, 198, 187)"
987,Neutral,Gris utile,"rgb(207, 202, 189)"
988,Neutral,Gris essentiel,"rgb(188, 184, 182)"
989,Neutral,Gris nécessaire,"rgb(185, 178, 169)"
990,Neutral,Gris polyvalent,"rgb(193, 182, 171)"
991,Neutral,Nouveau gris,"rgb(191, 182, 170)"
992,Neutral,Gris attentif,"rgb(188, 183, 173)"
993,Neutral,Gris incroyable,"rgb(190, 181, 169)"
994,Neutral,Gris analytique,"rgb(191, 182, 167)"
995,Neutral,Gris propre,"rgb(173, 168, 165)"
996,Neutral,Gris fonctionnel,"rgb(171, 163, 154)"
997,Neutral,Écru parfait,"rgb(183, 171, 159)"
998,Neutral,Très écru,"rgb(173, 162, 149)"
999,Neutral,Gris dorien,"rgb(172, 167, 158)"
1000,Neutral,Gris intellectuel,"rgb(168, 160, 147)"
1001,Neutral,Zone grise,"rgb(175, 166, 150)"
1002,Neutral,Béton poli,"rgb(158, 151, 147)"
1003,Neutral,Oreille d'éléphant,"rgb(152, 143, 133)"
1004,Neutral,Gris artistique,"rgb(160, 146, 135)"
1005,Neutral,Gris clé de coûte,"rgb(158, 146, 132)"
1006,Neutral,Acier,"rgb(158, 153, 145)"
1007,Neutral,Laine bouillie,"rgb(151, 144, 131)"
1008,Neutral,Argile studio,"rgb(149, 141, 127)"
1009,Neutral,Vison,"rgb(132, 123, 119)"
1010,Neutral,Toile de fond,"rgb(134, 122, 111)"
1011,Neutral,Gris Spalding,"rgb(141, 127, 117)"
1012,Neutral,Pierre chaude,"rgb(136, 123, 108)"
1013,Neutral,Queue d'aronde,"rgb(144, 138, 131)"
1014,Neutral,Anonyme,"rgb(129, 122, 110)"
1015,Neutral,Ombre qui s'adapte,"rgb(134, 126, 112)"
1016,Neutral,Pierre folklore,"rgb(109, 101, 98)"
1017,Neutral,Griffon,"rgb(111, 100, 89)"
1018,Neutral,Gris Garret,"rgb(117, 104, 97)"
1019,Neutral,Bronze remue-méninges,"rgb(116, 104, 90)"
1020,Neutral,Gris gantelet,"rgb(120, 115, 110)"
1021,Neutral,Marsouin,"rgb(107, 100, 91)"
1022,Neutral,Brun feuille de chêne,"rgb(100, 90, 75)"
1023,Neutral,Manoir,"rgb(102, 93, 87)"
1024,Neutral,Fumée de noyer,"rgb(86, 69, 55)"
1025,Neutral,Brun château,"rgb(91, 75, 68)"
1026,Neutral,Bronze statut,"rgb(92, 77, 60)"
1027,Neutral,Renard noir,"rgb(79, 72, 66)"
1028,Neutral,Bronze urbain,"rgb(84, 80, 74)"
1029,Neutral,Bronze durable,"rgb(85, 76, 62)"
1030,Neutral,Ivoire grec,"rgb(216, 207, 190)"
1031,Neutral,Shiitake,"rgb(200, 188, 171)"
1032,Neutral,Beige accessible,"rgb(209, 199, 184)"
1033,Neutral,Bordure de rivière,"rgb(219, 206, 189)"
1034,Neutral,Noir tricorne,"rgb(47, 47, 48)"
1035,Neutral,Fucus,"rgb(68, 55, 53)"
1036,Neutral,Uniforme bleu,"rgb(43, 67, 96)"
1037,Neutral,Chemin de jogging,"rgb(192, 185, 169)"
1038,Neutral,Loggia,"rgb(196, 183, 165)"
1039,Neutral,Beige équilibré,"rgb(192, 178, 162)"
1040,Neutral,Beige bungalow,"rgb(205, 191, 176)"
1041,Neutral,Caviar,"rgb(49, 48, 49)"
1042,Neutral,Haricot noir,"rgb(64, 51, 48)"
1043,Neutral,Salty Dog,"rgb(35, 64, 88)"
1044,Neutral,Gris portail,"rgb(178, 172, 156)"
1045,Neutral,Lion de pierre,"rgb(179, 164, 145)"
1046,Neutral,Taupe Tony,"rgb(177, 162, 144)"
1047,Neutral,Beige tapis,"rgb(202, 186, 168)"
1048,Neutral,Magie noire,"rgb(50, 49, 50)"
1049,Neutral,Raisin sec,"rgb(57, 43, 45)"
1050,Neutral,Dans la Marine,"rgb(40, 56, 73)"
1051,Neutral,Humeur éthérée,"rgb(174, 165, 148)"
1052,Neutral,Ton taupe,"rgb(173, 160, 144)"
1053,Neutral,Aile de papillon de nuit,"rgb(160, 144, 127)"
1054,Neutral,Beige pavillon,"rgb(197, 182, 164)"
1055,Neutral,Encrier,"rgb(49, 54, 58)"
1056,Neutral,Brun foncé de la forêt,"rgb(57, 52, 55)"
1057,Neutral,Bleu charbon,"rgb(61, 68, 80)"
1058,Neutral,Faon bringé,"rgb(167, 160, 148)"
1059,Neutral,Bécasseau des sables,"rgb(167, 149, 130)"
1060,Neutral,Taupe virtuelle,"rgb(138, 122, 106)"
1061,Neutral,Taupe de l'aube,"rgb(172, 154, 138)"
1062,Neutral,Noir de la nuit,"rgb(50, 54, 57)"
1063,Neutral,Domino,"rgb(53, 51, 55)"
1064,Neutral,Gris minéral,"rgb(81, 87, 99)"
1065,Neutral,Rivière pressée,"rgb(161, 156, 143)"
1066,Neutral,Taupe taverne,"rgb(156, 138, 121)"
1067,Neutral,Fumoir,"rgb(113, 99, 84)"
1068,Neutral,Cale sèche,"rgb(161, 141, 125)"
1069,Neutral,Vert-noir,"rgb(55, 58, 58)"
1070,Neutral,Noir bohémien,"rgb(59, 55, 60)"
1071,Neutral,Naval,"rgb(47, 61, 76)"
1072,Neutral,Route de montagne,"rgb(134, 133, 120)"
1073,Neutral,Pied de montagne,"rgb(130, 116, 102)"
1074,Neutral,Brun Van Dyke,"rgb(86, 69, 54)"
1075,Neutral,Hutte Tiki,"rgb(130, 111, 94)"
1076,Neutral,Minerai de fer,"rgb(67, 67, 65)"
1077,Neutral,Cygne noir,"rgb(58, 55, 62)"
1078,Neutral,Levons l'ancre,"rgb(43, 52, 65)"
1079,White & Pastel,Blanc perlé,"rgb(232, 227, 217)"
1080,White & Pastel,Albâtre,"rgb(237, 234, 224)"
1081,White & Pastel,Sous la neige,"rgb(237, 234, 229)"
1082,White & Pastel,Blanc Douvres,"rgb(240, 234, 220)"
1083,White & Pastel,Casablanca,"rgb(237, 225, 206)"
1084,White & Pastel,Terrain neutre,"rgb(226, 218, 202)"
1085,White & Pastel,Mousseline,"rgb(234, 223, 201)"
1086,White & Pastel,Villa grecque,"rgb(240, 236, 226)"
1087,White & Pastel,Blanc pur,"rgb(237, 236, 230)"
1088,White & Pastel,Blanc très réfléchissant,"rgb(247, 247, 241)"
1089,White & Pastel,Extra-blanc,"rgb(238, 239, 234)"
1090,White & Pastel,Blanc sec,"rgb(228, 228, 221)"
1091,White & Pastel,Plume de héron,"rgb(229, 225, 216)"
1092,White & Pastel,Blanc arcade,"rgb(243, 238, 231)"
1093,White & Pastel,Blanc perlé,"rgb(232, 227, 217)"
1094,White & Pastel,Albâtre,"rgb(237, 234, 224)"
1095,White & Pastel,Sous la neige,"rgb(237, 234, 229)"
1096,White & Pastel,Extra-blanc pour plafond,"rgb(233, 235, 231)"
1097,White & Pastel,Blanc réservé,"rgb(224, 224, 217)"
1098,White & Pastel,Blanc Zurich,"rgb(230, 225, 217)"
1099,White & Pastel,Blanc ibis,"rgb(242, 236, 230)"
1100,White & Pastel,Dentelle ivoire,"rgb(236, 229, 216)"
1101,White & Pastel,Blanc terrier,"rgb(243, 238, 227)"
1102,White & Pastel,Blanc toqué,"rgb(231, 226, 218)"
1103,White & Pastel,Cube de glace,"rgb(227, 228, 225)"
1104,White & Pastel,Fleur de sel,"rgb(220, 221, 216)"
1105,White & Pastel,Blanc origami,"rgb(229, 226, 218)"
1106,White & Pastel,Perle cultivée,"rgb(229, 220, 214)"
1107,White & Pastel,Blanc Shoji,"rgb(230, 223, 211)"
1108,White & Pastel,Blanc aigrette,"rgb(223, 217, 207)"
1109,White & Pastel,Blanc incroyable,"rgb(227, 222, 215)"
1110,White & Pastel,Strass,"rgb(222, 224, 222)"
1111,White & Pastel,Blanc écumeux,"rgb(221, 221, 214)"
1112,White & Pastel,Blanc élégant,"rgb(227, 221, 211)"
1113,White & Pastel,Beau blanc,"rgb(230, 221, 213)"
1114,White & Pastel,Canard blanc,"rgb(229, 223, 210)"
1115,White & Pastel,Pédiment,"rgb(211, 204, 196)"
1116,White & Pastel,Blanc eider,"rgb(226, 222, 216)"
1117,White & Pastel,Blanc nébuleux,"rgb(222, 223, 220)"
1118,White & Pastel,Blanc éthéré,"rgb(227, 226, 217)"
1119,White & Pastel,Héron blanc,"rgb(231, 225, 215)"
1120,White & Pastel,Blanc quotidien,"rgb(228, 220, 212)"
1121,White & Pastel,Choix naturel,"rgb(227, 222, 208)"
1122,White & Pastel,Glace pilée,"rgb(214, 211, 204)"
1123,White & Pastel,Cinq étoiles,"rgb(218, 217, 212)"
1124,White & Pastel,Sucre d'orge,"rgb(222, 225, 223)"
1125,White & Pastel,Blanc moderne,"rgb(226, 224, 215)"
1126,White & Pastel,Loft urbain,"rgb(223, 218, 209)"
1127,White & Pastel,Blanc fin,"rgb(227, 219, 212)"
1128,White & Pastel,Blanc huître,"rgb(226, 221, 208)"
1129,White & Pastel,Sur la glace,"rgb(208, 206, 200)"
1130,White & Pastel,Grand froid,"rgb(208, 206, 201)"
1131,White & Pastel,Blanc établi,"rgb(220, 222, 220)"
1132,White & Pastel,Nuance,"rgb(226, 224, 214)"
1133,White & Pastel,Blanc du vent frais,"rgb(222, 216, 207)"
1134,White & Pastel,Simplement blanc,"rgb(223, 217, 210)"
1135,White & Pastel,Cerf de Virginie,"rgb(244, 239, 228)"
1136,White & Pastel,Blanc papier,"rgb(247, 239, 222)"
1137,White & Pastel,Colonne romaine,"rgb(246, 240, 226)"
1138,White & Pastel,Blanc coquille,"rgb(240, 235, 224)"
1139,White & Pastel,Blanc coton,"rgb(247, 239, 227)"
1140,White & Pastel,Lait chaud,"rgb(236, 225, 209)"
1141,White & Pastel,Guimauve,"rgb(238, 233, 224)"
1142,White & Pastel,Blanc Douvres,"rgb(240, 234, 220)"
1143,White & Pastel,Blanc miel,"rgb(248, 238, 219)"
1144,White & Pastel,Nacre,"rgb(232, 226, 212)"
1145,White & Pastel,Blanc d'œuf,"rgb(243, 229, 210)"
1146,White & Pastel,Ivoire de Médicis,"rgb(243, 233, 215)"
1147,White & Pastel,Blanc panda,"rgb(234, 226, 212)"
1148,White & Pastel,Farine blanche,"rgb(244, 239, 229)"
1149,White & Pastel,Crémeux,"rgb(239, 232, 219)"
1150,White & Pastel,Blanc d'été,"rgb(244, 233, 214)"
1151,White & Pastel,Blanc reposant,"rgb(238, 232, 215)"
1152,White & Pastel,Linge frais,"rgb(243, 230, 212)"
1153,White & Pastel,Biscuit,"rgb(235, 221, 203)"
1154,White & Pastel,Blanc modéré,"rgb(233, 222, 207)"
1155,White & Pastel,Duveteux,"rgb(239, 232, 221)"
1156,White & Pastel,Blanc vieilli,"rgb(232, 222, 205)"
1157,White & Pastel,Crème,"rgb(244, 232, 210)"
1158,White & Pastel,Ours polaire,"rgb(232, 223, 202)"
1159,White & Pastel,Casablanca,"rgb(237, 225, 206)"
1160,White & Pastel,Ivoire complexe,"rgb(237, 221, 202)"
1161,White & Pastel,Blanc divin,"rgb(230, 220, 205)"
1162,White & Pastel,Futon,"rgb(237, 230, 219)"
1163,White & Pastel,Terrain neutre,"rgb(226, 218, 202)"
1164,White & Pastel,Blanc déco,"rgb(242, 229, 207)"
1165,White & Pastel,Mousseline,"rgb(234, 223, 201)"
1166,White & Pastel,Blanc Navajo,"rgb(233, 220, 198)"
1167,White & Pastel,Crème de choix,"rgb(240, 225, 208)"
1168,White & Pastel,Blanc crécelle,"rgb(224, 214, 200)"
1169,White & Pastel,Blanc modeste,"rgb(230, 221, 212)"
1170,White & Pastel,Beige canevas,"rgb(220, 209, 191)"
1171,White & Pastel,Vanillé,"rgb(242, 227, 202)"
1172,White & Pastel,Blanc ancien,"rgb(232, 220, 198)"
1173,White & Pastel,Gousse de lotus,"rgb(231, 215, 194)"
1174,White & Pastel,Beauté fragile,"rgb(231, 215, 198)"
1175,White & Pastel,Chamois Bauhaus,"rgb(231, 219, 204)"
1176,White & Pastel,Blanc fiable,"rgb(232, 222, 211)"
1177,White & Pastel,Patience,"rgb(226, 211, 191)"
1178,White & Pastel,Beige aiglon,"rgb(233, 217, 192)"
1179,White & Pastel,Baguettes,"rgb(224, 209, 184)"
1180,White & Pastel,Écru échelonné,"rgb(231, 216, 190)"
1181,White & Pastel,Crème irlandaise,"rgb(227, 210, 184)"
1182,White & Pastel,Juste naturel,"rgb(226, 211, 196)"
1183,White & Pastel,Blanc meneur,"rgb(229, 221, 208)"
1184,White & Pastel,Gardénia,"rgb(243, 226, 201)"
1185,White & Pastel,Ivoire de restauration,"rgb(233, 225, 202)"
1186,White & Pastel,Blanc nonchalant,"rgb(222, 221, 209)"
1187,White & Pastel,Miroitement,"rgb(224, 231, 226)"
1188,White & Pastel,Vertige,"rgb(220, 231, 232)"
1189,White & Pastel,Air de la montagne,"rgb(216, 224, 223)"
1190,White & Pastel,Blanc poli,"rgb(233, 221, 212)"
1191,White & Pastel,Blanc accueillant,"rgb(243, 227, 202)"
1192,White & Pastel,Ivoire ionique,"rgb(231, 223, 197)"
1193,White & Pastel,Blanc épinard,"rgb(228, 232, 218)"
1194,White & Pastel,Opaline,"rgb(220, 223, 215)"
1195,White & Pastel,Perce-neige,"rgb(224, 232, 231)"
1196,White & Pastel,Mercure,"rgb(221, 226, 224)"
1197,White & Pastel,Blanc sublime,"rgb(231, 219, 211)"
1198,White & Pastel,Champagne,"rgb(242, 227, 206)"
1199,White & Pastel,Camomille,"rgb(233, 224, 197)"
1200,White & Pastel,Menthe blanche,"rgb(224, 231, 218)"
1201,White & Pastel,Carreau,"rgb(215, 223, 216)"
1202,White & Pastel,Hunier,"rgb(218, 226, 224)"
1203,White & Pastel,Glaçon,"rgb(219, 223, 224)"
1204,White & Pastel,Blanc doux,"rgb(229, 218, 212)"
1205,White & Pastel,Presque pêche,"rgb(239, 222, 209)"
1206,White & Pastel,Jaune modéré,"rgb(237, 224, 197)"
1207,White & Pastel,Vert cendré,"rgb(226, 226, 209)"
1208,White & Pastel,Vert fugace,"rgb(216, 226, 216)"
1209,White & Pastel,Bleu horizon,"rgb(216, 231, 230)"
1210,White & Pastel,Air raréfié,"rgb(225, 230, 230)"
1211,White & Pastel,Blanc de rêve,"rgb(227, 217, 213)"
1212,White & Pastel,Corail léger,"rgb(238, 222, 213)"
1213,White & Pastel,Fin de journée,"rgb(243, 234, 198)"
1214,White & Pastel,Dentelle de la reine Anne,"rgb(236, 234, 213)"
1215,White & Pastel,Rêve en vert,"rgb(215, 228, 219)"
1216,White & Pastel,Bleu bravo,"rgb(211, 231, 233)"
1217,White & Pastel,Chute de neige,"rgb(224, 222, 218)"
1218,White & Pastel,Blanc intelligent,"rgb(228, 219, 216)"
1219,White & Pastel,Blanc intime,"rgb(240, 225, 216)"
1220,White & Pastel,Lys,"rgb(243, 232, 194)"
1221,White & Pastel,Pousse,"rgb(228, 228, 206)"
1222,White & Pastel,Bleu embelli,"rgb(215, 235, 226)"
1223,White & Pastel,Iceberg,"rgb(214, 228, 231)"
1224,White & Pastel,Blanc spatial,"rgb(221, 220, 219)"
1225,White & Pastel,Blanc original,"rgb(226, 222, 219)"
1226,White & Pastel,Corail comique,"rgb(243, 209, 200)"
1227,White & Pastel,Narcisse des prés,"rgb(250, 217, 122)"
1228,White & Pastel,Ambiance verte,"rgb(212, 231, 195)"
1229,White & Pastel,Sarcelle tentante,"rgb(135, 220, 206)"
1230,White & Pastel,Sous-refroidissement,"rgb(127, 195, 225)"
1231,White & Pastel,Teinte de jacinthe,"rgb(194, 203, 224)"
1232,White & Pastel,Esprit libre,"rgb(202, 178, 210)"
